sim_time, iris/rotor_0?world_angular_velocity/z
1080.88, 65.1233
1080.88, 65.046
1080.88, 64.9723
1080.89, 64.9263
1080.89, 64.9093
1080.9, 64.9757
1080.9, 64.9978
1080.9, 65.0163
1080.91, 65.0795
1080.91, 65.099
1080.92, 65.0978
1080.92, 65.0806
1080.92, 65.0613
1080.93, 65.0675
1080.93, 65.105
1080.94, 65.0867
1080.94, 65.07
1080.94, 65.0543
1080.95, 65.0483
1080.95, 65.1078
1080.96, 65.1687
1080.96, 65.2139
1080.96, 65.2698
1080.97, 65.2962
1080.97, 65.3046
1080.98, 65.2973
1080.98, 65.2831
1080.98, 65.2556
1080.99, 65.2186
1080.99, 65.1914
1081, 65.1376
1081, 65.0966
1081, 65.083
1081.01, 65.1644
1081.01, 65.2182
1081.02, 65.2455
1081.02, 65.276
1081.02, 65.3435
1081.03, 65.369
1081.03, 65.37
1081.04, 65.3539
1081.04, 65.3015
1081.04, 65.2197
1081.05, 65.1483
1081.05, 65.13
1081.06, 65.151
1081.06, 65.154
1081.06, 65.2175
1081.07, 65.2274
1081.07, 65.2342
1081.08, 65.2523
1081.08, 65.2779
1081.08, 65.2627
1081.09, 65.2433
1081.09, 65.2212
1081.1, 65.1942
1081.1, 65.144
1081.1, 65.0676
1081.11, 65.0158
1081.11, 64.9743
1081.12, 64.9341
1081.12, 64.9909
1081.12, 65.0362
1081.13, 65.1032
1081.13, 65.1764
1081.14, 65.2097
1081.14, 65.2039
1081.14, 65.1972
1081.15, 65.1684
1081.15, 65.1276
1081.16, 65.1072
1081.16, 65.1491
1081.16, 65.1514
1081.17, 65.1428
1081.17, 65.1431
1081.18, 65.1502
1081.18, 65.1443
1081.18, 65.1206
1081.19, 65.0656
1081.19, 65.0224
1081.2, 65.0119
1081.2, 65.0296
1081.2, 65.038
1081.21, 65.0278
1081.21, 65.0992
1081.22, 65.1379
1081.22, 65.1454
1081.22, 65.1395
1081.23, 65.1683
1081.23, 65.2059
1081.24, 65.2358
1081.24, 65.235
1081.24, 65.2424
1081.25, 65.2851
1081.25, 65.3038
1081.26, 65.2922
1081.26, 65.2721
